bankCode;branchCode;bic;bankName;postalCode;city;flags
1451;;;Caisse Régionale de Crédit Agricole Mutuel Sud-Méditerranée (Ariège et Pyrénées-Orientales);08008;Barcelona;
1457;;LLISESM1XXX;De Lage Landen International B.V., Sucursal en España;28016;MADRID;
1459;;;Cooperatieve Rabobank U.A., Sucursal en España;28010;Madrid;
1465;;INGDESMMXXX;Ing Bank, N.V. Sucursal en España;28033;Madrid;
1472;;;Crédit Agricole Leasing & Factoring, Sucursal en España;28046;Madrid;
1473;;;Edmond de Rothschild (Europe), Sucursal en España;28046;Madrid;
1474;;CITIESMXSEC;Citibank Europe Plc, Sucursal en España;28006;MADRID;
1479;;NATXESMMXXX;Natixis, S.A., Sucursal en España;28004;Madrid;
1480;;VOWAES22XXX;Volkswagen Bank GmbH, Sucursal en España;28108;ALCOBENDAS;
1482;;;John Deere Bank, S.A., Sucursal en España;28984;PARLA;
1485;;BOFAES2XXXX;Bank of America Europe DAC, Sucursal en España;28020;Madrid;
1487;;;Toyota Kreditbank GmbH, Sucursal en España;28108;ALCOBENDAS;
1488;;PICTESMMXXX;BANK PICTET & CIE (EUROPE) AG SUCURSAL EN ESPAÑA;28006;MADRID;
1559;;;Mizuho Bank Europe N.V., Sucursal en España;28020;Madrid;
1560;;;Younited, Sucursal en España;08017;Barcelona;
A06302657;;MRTFESM2XXX;MIRALTA FINANCE BANK, S.A.;28020;MADRID;
1563;;NTSBESM1XXX;N26 BANK SE, SUCURSAL EN ESPAÑA;28006;MADRID;
1564;;;Goldman Sachs Bank Europe SE, Sucursal en España;28006;Madrid;
1567;;CHASESM3XXX;J.P. MORGAN SE, SUCURSAL EN ESPAÑA;28046;MADRID;
1547;;LOCYESMMNDP;Lombard Odier (Europe), S.A., Sucursal en España;28046;MADRID;
1548;;;Dell Bank International Designated Activity Company, Sucursal en España;28042;Madrid;
