bankCode,bic,bankName,postalCode,city,flags
31101,KLARCH22XXX,Bivial AG,6300,Zug,
00315,UBSBCHZZXXX,UBS AG,8098,Zürich,
06180,RBABCH22180,Crédit Mutuel de la Vallée SA,1347,"Sentier, Le",
06182,RBABCH22182,Caisse d'Epargne de Cossonay société coopérative,1304,Cossonay-Ville,
06186,RBABCH22186,Sparkasse Sense,1712,Tafers/Tavel,
61861,RBABCH22186,Sparkasse Sense,3185,Schmitten FR,
06240,RBABCH22240,Caisse d'Epargne Courtelary SA,2608,Courtelary,
62401,RBABCH22240,Caisse d'Epargne Courtelary SA,2720,Tramelan,
62402,RBABCH22240,Caisse d'Epargne Courtelary SA,2610,St-Imier,
62403,RBABCH22240,Caisse d'Epargne Courtelary SA,2605,Sonceboz-Sombeval,
06300,VABECH22XXX,Valiant Bank AG,3001,Bern,
06313,RBABCH22313,Bernerland Bank AG,3454,Sumiswald,
06336,RBABCH22CLI,Clientis AG,3000,Bern 7,
06342,RBABCH22342,SB Saanen Bank AG,3792,Saanen,
06363,RBABCH22363,Bank SLM AG,3110,Münsingen,
06374,RBABCH22374,Spar+Leihkasse Riggisberg AG,3132,Riggisberg,
06382,RBABCH22382,Burgerliche Ersparniskasse Bern Genossenschaft,3001,Bern,
06387,RBABCH22387,Ersparniskasse Affoltern i. E. AG,3462,Weier im Emmental,
06395,RBABCH22XXX,Entris Banking AG,3073,Gümligen,
06428,RBABCH22428,Clientis Sparkasse Oftringen Genossenschaft,4665,Oftringen,
06434,RBABCH22434,Clientis Bank im Thal AG,4710,Balsthal,
06450,RBABCH22450,Bank Oberaargau AG,4950,Huttwil,
06575,RBABCH22575,Clientis Bank Aareland AG,5024,Küttigen,
06588,RBABCH22588,Bank Leerau Genossenschaft,5054,Kirchleerau,
06633,RBABCH22633,Sparkasse Schwyz AG,6431,Schwyz,
06670,RBABCH22670,Clientis Entlebucher Bank AG,6170,Schüpfheim,
66701,RBABCH22670,Clientis Entlebucher Bank AG,6162,Entlebuch,
66702,RBABCH22670,Clientis Entlebucher Bank AG,6182,Escholzmatt,
06807,RBABCH22807,GRB Glarner Regionalbank Genossenschaft,8762,Schwanden,
06808,BSZHCHZZXXX,Sparhafen Bank AG,8001,Zürich,
06814,RBABCH22814,Sparcassa 1816 Genossenschaft,8820,Wädenswil,
68141,RBABCH22814,Sparcassa 1816 Genossenschaft,8805,Richterswil,
68142,RBABCH22814,Sparcassa 1816 Genossenschaft,8910,Affoltern am Albis,
68143,RBABCH22814,Sparcassa 1816 Genossenschaft,8907,Wettswil,
68144,RBABCH22814,Sparcassa 1816 Genossenschaft,8932,Mettmenstetten,
06824,RBABCH22824,BANK ZIMMERBERG AG,8810,Horgen 1,
68241,RBABCH22824,BANK ZIMMERBERG AG,8942,Oberrieden,
68242,RBABCH22824,BANK ZIMMERBERG AG,8816,Hirzel,
